epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
1,0.3311543052817913,89.21,0.07010999497724697,97.75,35.30155110359192
2,0.06261324313013478,98.11166666666666,0.03862880602100631,98.84,30.2721586227417
3,0.041975601378114936,98.71666666666667,0.028185774829034928,99.03,33.12992525100708
4,0.02915087299758291,99.11333333333333,0.02560673468378809,99.19,30.70863151550293
5,0.025748104323692463,99.195,0.02587349700370396,99.29,33.16458821296692
6,0.019960893587050763,99.40333333333334,0.025321132485805718,99.19,36.20462131500244
7,0.018155645119878366,99.385,0.024458227404534228,99.29,36.13602685928345
8,0.015564511462481336,99.51,0.023147180740897964,99.28,36.099408864974976
9,0.013965932986490983,99.55666666666667,0.02671790577850288,99.29,36.151543617248535
10,0.01223914547776308,99.60833333333333,0.022925377101955746,99.31,36.093963861465454
11,0.010389504361986877,99.695,0.026262889586706705,99.32,36.08988666534424
12,0.009434227800576333,99.705,0.027693324349903035,99.22,30.394668102264404
13,0.008750343347770816,99.73,0.030263607876443645,99.15,33.48264789581299
14,0.009542118971876335,99.705,0.029460126442114643,99.26,36.061195373535156
15,0.011370920622783238,99.65333333333334,0.02520147558871031,99.34,36.18175649642944
16,0.008241070491311939,99.74666666666667,0.02973121986885898,99.39,30.19157385826111
17,0.006650581597174057,99.78,0.03129807585176714,99.32,33.519397258758545
18,0.00636589493600347,99.79333333333334,0.029508627372834086,99.27,30.321428775787354
19,0.008195194891177766,99.73166666666667,0.028408940116844406,99.33,33.26329970359802
20,0.009901266736260175,99.71,0.037378126015582325,99.09,30.385206699371338
21,0.006879040787618501,99.785,0.0285214242805508,99.32,32.56497883796692
22,0.005108241948239973,99.84,0.030362860806788204,99.25,35.988600969314575
23,0.0015363735516781703,99.96,0.02695035549896625,99.41,36.120821714401245
24,0.00024456824801097566,99.995,0.02858225981317152,99.47,36.114288091659546
25,0.00010853158367056378,100.0,0.02968098203513987,99.44,36.142961502075195
26,5.7474430795604775e-05,100.0,0.030261346586328664,99.45,30.192872047424316
27,4.1430782593344723e-05,100.0,0.03038936083125421,99.46,33.3193633556366
28,5.028333058607993e-05,99.99833333333333,0.03303452144025396,99.47,30.215863704681396
29,0.0009106944039579145,99.97666666666667,0.037187130001570465,99.31,32.61276149749756
30,0.0014677338716816673,99.96,0.03945017199270269,99.29,30.489204168319702
31,0.0005893571729676209,99.98833333333333,0.03201370818314721,99.48,33.362229347229004
32,8.296176096759846e-05,99.99833333333333,0.032207288973647795,99.47,30.241584062576294
